Location,Y_Coordinate,X_Coordinate
DOUG SWAINE TIRE & SERVICE CENTER,-81.32314191853817,29.913811207959647
FLORIDA NATIONAL GUARD FMS #9,-81.37427898615664,29.83238365996658
JACK WILSON BUICK PONTIAC GMC,-81.32232441603395,29.857899305725827
FLORIDA DMA FLARNG OMS #11,-81.32084800072103,29.91076865211459
FRP CORP,-81.50805863171625,29.713061155477643
VINYL IND PRODUCTS,-81.40222527460435,29.900005647475094
FLORIDA PETROLEUM REPROCESSORS,-80.33222488360136,27.470560639249907
FPL WALTON SERVICE CENTER,-80.3111137603514,27.25556058690614
TOTAL AUTO PAINTING AND COLLOSION CENTER,-80.32478526803828,27.379020533468402
A & A AUTO SALVAGE INC,-80.3462035277756,27.500153757799414
LOOK OF CLASS CLEANERS,-80.32743557567075,27.447742495595573
TROPIC AUTOMOTIVE REPAIR INC,-80.32638104734691,27.44531807803049
ALL STAR ELECTRIC VEHICLES,-80.32583599068789,27.398060622137233
SUNOCO,-80.35036061059502,27.447266189257352
KENNYS AUTOMOTIVE,-80.32444710170343,27.396671732604492
MOBIL OIL CORP SS #BOQ,-80.3752804457963,27.258060585644238
K MART #3381,-80.32800177008815,27.426363850657413
SHEPHERD AUTOMOTIVE,-80.33511399326147,27.40525873412787
SABAL TRANSPORT INC,-81.78109762676395,27.952658391402384
SOUTHERN CROSS FIBERGLASS INC,-82.0025082475918,27.992327534788746
AMAX PHOSPHATE BIG FOUR MINE,-82.05156378246154,27.73394191532523
IMC AGRICO CO,-81.91220966175969,27.839852610859015
HOLLY HILL FRUIT PRODUCTS CO INC,-81.60075599725063,28.16425636449505
LAKELAND RUBBER STAMP CO INC,-81.94960501173566,28.03686090803863
ISC RACING SERVICE,-81.67873204382715,28.021025521314126
"JVS CONTRACTING, INC.",-81.9853279903929,27.90670854248318
RHODEN ENTERPRIZES INC,-81.63130893944358,27.802478080535945
AUTO STORE USA,-81.61907022365438,28.107066988661753
NEWMAN TRACTOR LLC,-81.8885950454831,27.899601320600397
MACLAN CORP,-81.9062688595121,28.020781488800047
BARTOW CITY MOTOR POOL,-81.84731575560161,27.899744182165655
DALTON ENTERPRISES INC,-81.77696115550746,28.0309714657919
JIFFY LUBE STORE #75,-81.95729731825396,28.00311403881713
CRESCENT CITY FARM SUPPLY,-81.53747832658959,29.474073153286405
